docid,sentences,words,syllables,letters,unique,ttr,flesch-adap,coleman,flesch-gradelevel,ari,awl,awlstd,psfl,zh,wiki,brescola
netb-103b8f,9,55,109,243,40,0.7272727273,74.97040404,5.335272727,10.17878788,2.435191919,4.418181818,3.067073874,s,d,s,d
netb-103b92,4,48,104,247,37,0.7708333333,53.355,11.99083333,14.65666667,8.806875,5.145833333,3.149005024,s,d,s,d
netb-103cea,5,59,139,330,43,0.7288135593,34.31272414,14.57966102,17.21331034,10.8140678,5.593220339,3.737662843,s,s,s,s
netb-103ceb,7,71,147,358,57,0.8028169014,61.025,10.93014085,13.09,7.390442656,5.042253521,2.795552906,s,d,s,s
netb-103cf0,8,130,265,651,90,0.6923076923,58.67742733,11.82369231,14.93906008,10.28123077,5.007692308,2.760981302,s,s,s,s
netb-103cf1,4,57,133,333,51,0.8947368421,33.7,16.47438596,17.895,13.21131579,5.842105263,3.105114478,s,d,s,s
netb-103d09,25,154,323,750,90,0.5844155844,65.14234026,8.031168831,11.56175065,4.588311688,4.87012987,3.010158771,s,s,d,d
netb-103d1b,17,175,399,947,125,0.7142857143,45.49847059,13.14377143,15.32870588,9.204887395,5.411428571,3.314364531,s,d,s,d
netb-103d26,5,150,304,898,100,0.6666666667,33.29845255,18.41493333,21.27994161,21.7672,5.986666667,4.404522928,d,s,d,s
netb-103d70,9,101,243,563,76,0.7524752475,31.97922222,14.3390099,17.41733333,10.43586359,5.574257426,3.219207622,s,s,s,d
netb-103d9c,5,137,309,750,91,0.6642335766,25.2841203,15.30948905,22.19903759,18.05467153,5.474452555,3.183168077,s,d,s,s
netb-103d9e,10,149,325,773,106,0.711409396,45.69408219,12.71838926,16.37112329,10.45510067,5.187919463,3.137495961,s,d,s,s
netb-103e5e,18,235,494,1160,126,0.5361702128,56.32986528,10.95744681,14.47635908,8.34713948,4.936170213,2.817908197,d,s,s,d
netb-103e61,4,98,211,494,71,0.7244897959,41.81852041,12.63183673,19.37112245,14.5622449,5.040816327,2.602660991,s,d,s,d
netb-103e6a,9,66,133,315,50,0.7575757576,68.39982906,8.227272727,11.37128205,4.716212121,4.772727273,2.958272707,s,s,s,d
netb-103e7b,6,76,158,392,59,0.7763157895,55.68423423,12.19157895,14.41459459,9.197017544,5.157894737,2.753240347,s,s,s,d
netb-103e8b,2,87,170,467,61,0.7011494253,30.17194444,15.08229885,24.9704321,25.60241379,5.367816092,3.209593889,s,d,s,s
netb-103e8e,11,88,185,460,58,0.6590909091,58.91117336,11.23636364,12.84281184,7.190454545,5.227272727,3.099586749,s,d,s,d
netb-103ef2,2,89,190,451,62,0.6966292135,21.51590909,13.33123596,27.04727273,24.68752809,5.06741573,3.304058631,s,d,s,s
netb-103efb,34,235,557,1303,143,0.6085106383,39.63806299,12.52017021,15.29123075,8.141329161,5.544680851,3.467957183,d,d,s,d
netb-103efd,9,121,270,640,89,0.7355371901,46.41202938,13.09917355,15.98391185,10.20461892,5.289256198,3.116042246,s,d,s,d
netb-103f01,18,122,269,626,84,0.6885245902,53.93425849,10.00393443,13.26472452,6.126593807,5.131147541,3.037877871,s,d,s,d
netb-103f0a,11,170,372,880,106,0.6235294118,46.00461039,12.72235294,16.49493506,10.6784492,5.176470588,3.033834578,s,d,s,d
netb-103f35,2,139,311,759,85,0.6115107914,-12.74067518,15.88143885,37.91186131,39.03863309,5.460431655,3.089239126,s,d,s,s
netb-1043,15,148,345,819,93,0.6283783784,39.04470776,13.73864865,16.08956164,9.567454955,5.533783784,3.399951392,s,s,s,d
netb-10472f,34,317,628,1430,169,0.5331230284,71.77287948,7.550157729,11.42283262,4.47876786,4.511041009,3.062550512,s,s,s,s
netb-1058,7,104,207,498,68,0.6538461538,62.35676471,10.36384615,14.03991597,8.552225275,4.788461538,3.164323591,s,s,d,d
netb-1068,14,129,320,753,75,0.5813953488,29.62203488,15.3103876,17.27488926,10.67039867,5.837209302,3.935114623,s,s,s,d
netb-106b,22,511,1059,2422,267,0.5225048924,49.3370526,10.79522505,17.98367298,12.50774595,4.739726027,3.170430765,d,d,s,s
netb-1091,6,136,319,732,83,0.6102941176,27.39156863,14.54235294,20.92794118,15.25421569,5.382352941,3.755503459,s,d,s,d
netb-109ee1,7,163,366,888,96,0.5889570552,33.16950311,14.96220859,20.20484472,15.87224365,5.447852761,3.702351059,s,s,d,s
netb-109ee2,15,366,813,2016,174,0.4754098361,34.79596694,15.37508197,20.27609917,16.71360656,5.508196721,3.891800056,d,d,s,s
netb-10a2,14,335,748,1752,165,0.4925373134,35.64958955,13.71450746,20.08960554,15.16688273,5.229850746,3.632071689,d,d,s,s
netb-10a590,5,65,133,317,42,0.6461538462,57.446,10.59938462,14.23511111,8.040307692,4.876923077,3.873013902,s,s,s,s
netb-10a6,17,388,855,1989,184,0.4742268041,39.24385992,13.0456701,19.31375379,14.12658429,5.12628866,3.675220681,d,s,s,s
netb-10c,55,1281,2677,6249,501,0.3911007026,48.04023175,11.6130523,18.18939622,13.19187141,4.878220141,3.369862568,d,d,s,s
netb-10ce,18,425,907,2151,188,0.4423529412,40.14652174,12.70607059,19.23169082,14.21369673,5.061176471,3.387315235,d,d,s,s
netb-10ed72,11,173,380,901,109,0.6300578035,44.04275401,12.94150289,16.81374332,10.96375197,5.208092486,3.771285387,s,s,s,s
netb-1114,26,429,901,2098,205,0.4778554779,53.27362947,11.1618648,15.757277,9.853986014,4.89044289,3.420713954,d,d,s,s
netb-111c,21,583,1171,2797,223,0.3825042882,46.9686385,11.34367067,19.2856841,15.04764192,4.797598628,3.507433087,d,d,d,s
netb-112f,11,237,573,1421,150,0.6329113924,16.8479249,18.08135021,21.96193676,17.58285386,5.995780591,4.20116308,d,d,d,s
netb-113695,90,1475,2965,6925,664,0.4501694915,61.61789116,10,14.58068027,8.877495292,4.694915254,2.980013862,d,s,s,s
netb-1136d3,16,124,248,610,60,0.4838709677,71.76875,9.306451613,11.0325,5.61516129,4.919354839,2.784162509,s,d,s,s
netb-113746,7,167,389,913,106,0.6347305389,23.30184049,15.10562874,21.65216477,16.24845167,5.467065868,3.676734478,s,s,s,s
netb-113748,8,107,256,598,72,0.6728971963,32.85189836,14.84897196,17.8580257,11.58067757,5.588785047,3.359887824,s,s,s,d
netb-11374c,12,259,603,1423,137,0.528957529,25.79984354,15.13451737,20.75661067,15.23938867,5.494208494,3.883805259,d,d,s,s
netb-11374d,11,212,491,1134,121,0.570754717,32.5000517,14.11660377,19.34967686,13.40042024,5.349056604,3.45876642,d,d,s,d
netb-113753,8,135,318,733,85,0.6296296296,32.426875,14.37214815,18.78680556,12.58105556,5.42962963,3.407053122,s,s,s,d
netb-1139f3,5,53,126,303,43,0.8113207547,33.28669231,15.02339623,17.05830769,10.79698113,5.716981132,3.677454814,s,s,d,d
netb-1139fc,13,275,583,1373,131,0.4763636364,46.26792986,12.15796364,17.86191176,12.66266853,4.992727273,3.291855213,d,s,s,s
netb-1139fd,39,900,1857,4456,383,0.4255555556,49.83854672,12.02986667,17.86073826,13.42819487,4.951111111,3.181168354,d,d,s,s
netb-113a53,8,144,318,763,64,0.4444444444,37.65405126,13.71138889,18.18193345,12.52645833,5.298611111,3.815319743,s,d,s,d
netb-113a59,7,65,119,316,50,0.7692307692,69.64610169,9.598153846,11.49714286,6.110703297,4.861538462,3.205173333,s,s,d,s
netb-113a5d,5,63,121,278,38,0.6031746032,60.56789655,7.797460317,13.55124138,5.653809524,4.412698413,3.411627739,s,s,d,s
netb-113a60,5,56,129,320,43,0.7678571429,20.417,15.15714286,18.754,11.08428571,5.714285714,3.628824513,s,s,s,s
netb-113a62,4,26,42,124,23,0.8846153846,81.74340909,7.689230769,9.082272727,4.283076923,4.769230769,4.050714014,s,d,d,s
netb-113a67,6,52,108,294,40,0.7692307692,50.365,14.02923077,14.08,9.532948718,5.653846154,3.911937428,s,d,d,s
netb-113a69,5,61,126,302,46,0.7540983607,43.85909091,10.88459016,15.73272727,7.988360656,4.950819672,3.456645913,s,d,d,s
netb-113a6a,9,182,376,883,69,0.3791208791,49.1580791,11.26395604,17.14666667,11.53237485,4.851648352,3.764345824,s,d,d,s
netb-113a6c,11,201,386,910,92,0.4577114428,64.13934137,9.200995025,14.59786642,9.030244233,4.527363184,2.90144886,s,d,s,s
netb-113a6d,7,131,244,569,49,0.3740458015,66.73642857,8.158167939,14.28079365,8.385081788,4.34351145,3.456978764,s,d,s,s
netb-113a72,7,90,174,467,42,0.4666666667,55.35666667,12.40844444,14.27100529,9.438238095,5.188888889,3.602142709,s,d,d,s
netb-113a74,7,63,121,324,46,0.7301587302,57.91857143,11.15111111,13.02642857,7.292857143,5.142857143,3.762206136,s,s,d,s
netb-113a75,12,306,670,1549,134,0.4379084967,34.52,12.80431373,20.51333333,15.16245098,5.062091503,3.866996378,d,s,s,s
netb-113a7d,5,72,130,320,51,0.7083333333,73.29570588,8.277777778,12.27282353,6.703333333,4.444444444,3.040873819,s,d,s,s
netb-113a7e,5,63,120,293,51,0.8095238095,62.02651724,9.197460317,13.3477931,6.775238095,4.650793651,3.09202112,s,d,s,s
netb-113a85,7,56,118,301,49,0.875,56.13833333,12.105,13.20375661,7.88625,5.375,3.068052547,s,d,s,s
netb-113a8c,4,53,117,271,39,0.7358490566,30.4425,12.03169811,17.8525,9.278207547,5.113207547,3.62725728,s,s,d,s
netb-113a92,4,65,138,338,48,0.7384615385,35.9857839,12.95446154,17.7625,11.187,5.2,3.604270971,s,s,d,s
netb-113a9c,9,164,350,884,67,0.4085365854,41.43397436,14.2702439,17.64435897,13.06915989,5.390243902,3.842179569,s,s,d,s
netb-113aa3,7,64,129,302,48,0.75,55.30711864,8.70875,13.49714286,5.366741071,4.71875,3.420840312,s,d,d,s
netb-113aaf,7,61,124,293,43,0.7049180328,50.12545455,9.046557377,14.07792208,5.55058548,4.803278689,3.528895579,s,s,d,s
netb-113ab1,7,123,259,640,54,0.4390243902,48.84,13.11056911,16.56404762,11.86303136,5.203252033,3.428620215,s,s,s,s
netb-113ab3,9,64,137,317,37,0.578125,42.46285441,9.161875,14.79574713,5.454774306,4.953125,3.572593978,s,s,d,s
netb-113ab5,4,35,57,142,26,0.7428571429,80.4825,4.673142857,9.755,2.054142857,4.057142857,3.107068965,s,s,d,s
netb-113ab9,4,43,71,196,35,0.8139534884,81.12407895,8.248372093,10.16236842,5.413837209,4.558139535,2.967281471,s,s,d,s
netb-113abf,8,154,352,867,73,0.474025974,28.84668919,15.76597403,19.68986486,14.71168831,5.62987013,4.012887192,d,d,d,s
netb-113ac3,8,54,127,298,44,0.8148148148,23.34873724,12.2637037,17.38242347,7.937222222,5.518518519,3.705555093,s,s,d,s
netb-113acb,2,19,30,103,16,0.8421052632,47.00673077,12.96,14.17576923,8.853157895,5.421052632,4.146219451,s,d,d,s
netb-113acf,6,66,116,273,46,0.696969697,75.125,5.830909091,11.12333333,3.552272727,4.136363636,2.811698309,s,d,s,s
netb-113ad3,6,60,123,312,47,0.7833333333,47,11.816,14.79777778,8.062,5.2,3.510935298,s,s,d,s
netb-113ae2,5,66,124,311,54,0.8181818182,64.47822951,9.664848485,13.15488525,7.364090909,4.712121212,3.232248263,s,d,d,s
netb-113ae5,38,660,1329,3304,280,0.4242424242,58.49869636,11.93139394,15.20751417,10.83275598,5.006060606,3.200846422,d,d,d,s
netb-113b39,12,156,308,724,95,0.608974359,68.60923077,9.212307692,12.7774359,6.929230769,4.641025641,3.180365884,s,d,d,d
netb-113b3d,5,57,114,282,46,0.8070175439,65.24557143,10.69403509,12.79942857,7.572105263,4.947368421,3.04020459,s,s,s,d
netb-113b3e,22,347,665,1552,160,0.4610951009,70.27355229,8.622363112,13.22282712,7.52241551,4.472622478,2.765832034,s,s,s,s
netb-113b3f,14,267,579,1350,160,0.5992509363,45.4018797,12.37827715,17.50496241,11.92032103,5.056179775,3.073480443,s,s,s,d
netb-113b41,14,298,592,1377,156,0.5234899329,58.67219697,9.979731544,16.20411015,10.97685043,4.620805369,2.948182813,s,d,s,s
netb-113b79,16,319,673,1603,182,0.5705329154,49.11711061,12.26282132,17.18861002,12.20686912,5.02507837,3.250174518,d,d,d,s
netb-113b85,13,280,587,1395,149,0.5321428571,49.05799007,12.12071429,17.6065233,12.80512363,4.982142857,3.393749883,d,d,s,s
netb-113b87,14,191,387,912,100,0.5235602094,60.19621658,10.10659686,14.03960657,7.881062079,4.77486911,3.120041089,s,s,s,s
netb-113b88,9,147,332,791,98,0.6666666667,37.545,14.0277551,17.85555556,12.08095238,5.380952381,3.239495496,s,s,d,s
netb-113b8c,13,397,818,2023,201,0.5062972292,39.02785215,13.19355164,21.03116883,17.840062,5.095717884,3.608122212,d,d,d,s
netb-113b95,5,71,157,359,58,0.8169014085,44.87928571,11.84676056,16.33571429,9.485352113,5.056338028,3.006506203,s,s,s,d
netb-113b96,12,197,397,976,118,0.5989847716,60.8985034,11.52832487,14.68102041,10.11315567,4.954314721,3.141816243,s,d,s,s
netb-113b97,21,363,790,1911,179,0.4931129477,44.84451583,13.44264463,17.09767757,12.00847698,5.26446281,3.733037512,d,d,s,s
netb-114d,25,213,497,1169,113,0.5305164319,40.089,12.99680751,15.61266667,8.67971831,5.488262911,3.935644656,d,d,d,d
netb-1160,13,225,433,1033,113,0.5022222222,67.8109478,9.485511111,13.93982143,8.847979487,4.591111111,2.971256541,s,d,s,s
netb-117c,38,960,1937,4550,339,0.353125,51.1197248,10.89708333,18.20454286,13.52501645,4.739583333,3.310478288,d,d,d,s
netb-1186ad,3,43,81,192,37,0.8604651163,74.92387597,8.389767442,12.22790698,6.767364341,4.465116279,2.814818241,s,s,s,d
netb-1186ae,17,173,373,901,107,0.6184971098,49.90723142,11.91491329,14.59686509,8.188350901,5.208092486,2.989875662,s,d,d,s
netb-1186b8,26,219,429,1018,143,0.6529680365,74.56228925,8.018447489,10.81006849,4.675511064,4.648401826,2.714687719,s,d,d,d
netb-1186c0,16,279,534,1287,171,0.6129032258,66.03524382,9.626379928,14.14569368,9.015524194,4.612903226,2.76964702,s,d,s,s
netb-1186c3,10,112,220,508,79,0.7053571429,71.28842857,8.227142857,11.95657143,5.533214286,4.535714286,2.528157755,s,s,s,d
netb-1186c4,36,434,834,1990,247,0.569124424,71.19881455,8.705990783,12.12640845,6.194321557,4.585253456,2.752186237,d,d,s,s
netb-1186c9,16,298,606,1461,138,0.4630872483,56.33246292,11.43852349,15.840625,10.9741443,4.902684564,2.893047586,s,s,d,s
netb-1186cb,11,122,228,554,86,0.7049180328,78.25842975,8.232131148,10.93471074,5.503487332,4.540983607,2.640006026,s,d,s,s
netb-1186cc,5,54,102,233,45,0.8333333333,75.26090566,6.83037037,11.25343396,4.292777778,4.314814815,2.616359317,s,s,s,s
netb-1186cd,3,64,112,277,52,0.8125,79.13166667,8.261875,13.38,9.622135417,4.328125,2.0004272,s,d,d,s
netb-1186d5,8,49,91,200,35,0.7142857143,85.50383929,3.367346939,8.713035714,0.8569897959,4.081632653,2.42299136,s,d,s,s
netb-1186d9,53,770,1611,3875,345,0.4480519481,55.59819061,11.75350649,14.93907614,9.537073021,5.032467532,3.218894767,d,d,d,s
netb-1186db,4,62,130,293,44,0.7096774194,55.71540323,10.07806452,15.19693548,8.578548387,4.725806452,3.233740244,s,s,s,s
netb-1186dc,54,737,1247,3150,232,0.3147896879,88.40861859,7.162822252,10.08942742,5.525010302,4.274084125,2.506608635,d,d,s,s
netb-1186dd,18,155,303,723,107,0.6903225806,73.69786436,8.189935484,10.96354978,4.845426523,4.664516129,2.785393745,s,d,s,s
netb-1186de,39,470,866,2075,235,0.5,75.97443223,7.703404255,11.4189011,5.389789962,4.414893617,2.700707451,s,s,s,s
netb-1186e0,78,1225,2211,5286,539,0.44,78.73128332,7.688065306,11.99623762,6.746694715,4.315102041,2.546285107,d,d,s,s
netb-1186e9,10,236,525,1222,125,0.5296610169,36.68184746,13.39220339,19.864,14.75822034,5.177966102,3.474193861,d,d,s,s
netb-118728,42,500,1006,2342,233,0.466,64.28878465,9.25552,13.06655897,6.584020952,4.684,2.82845258,d,d,s,s
netb-11876d,24,514,1203,2883,200,0.3891050584,28.74990132,15.7985214,20.41759503,15.69648508,5.608949416,4.230333033,d,d,d,s
netb-1187bc,10,286,711,1682,150,0.5244755245,6.912,17.74601399,25.15906383,20.57006993,5.881118881,3.893673388,d,d,s,s
netb-1187c6,15,369,867,2000,184,0.4986449865,24.6179058,14.86666667,21.77854348,16.39845528,5.420054201,3.957734563,d,d,d,s
netb-1187ea,7,67,129,316,47,0.7014925373,69.033125,8.84,11.76008929,5.570042644,4.71641791,2.636177525,s,s,s,s
netb-118802,36,840,1897,4401,308,0.3666666667,33.89714359,13.73842857,20.17926202,14.91370238,5.239285714,3.708565307,d,d,d,s
netb-118809,8,124,238,597,78,0.6290322581,69.53181402,10.59967742,13.23877033,8.996370968,4.814516129,2.86909825,s,s,s,s
netb-11880a,63,1101,2201,5302,464,0.421435059,60.44398063,10.82212534,14.9849585,9.98967562,4.815622162,3.012171992,d,s,s,s
netb-118828,9,225,478,1138,119,0.5288888889,42.34564524,12.75573333,19.36660688,14.89213333,5.057777778,3.030400699,s,s,s,s
netb-118830,4,104,241,597,73,0.7019230769,23.06426471,16.815,22.23539216,18.60721154,5.740384615,3.762147485,s,d,s,s
netb-118838,10,170,366,871,95,0.5588235294,49.44117647,12.58517647,16.44470588,11.20182353,5.123529412,3.295635155,s,s,s,s
netb-11883e,8,185,409,1021,101,0.5459459459,32.82046439,15.37124324,20.09826117,16.12660811,5.518918919,3.971645301,s,s,d,s
netb-118843,7,116,228,578,72,0.6206896552,60.37357143,11.71241379,14.67142857,10.32450739,4.982758621,3.264180624,s,s,s,s
netb-11884c,12,244,465,1124,117,0.4795081967,66.39236111,9.830819672,14.88774691,10.43355191,4.606557377,3.334020802,s,s,s,s
netb-11894f,6,79,160,597,56,0.7088607595,38.27284314,26.38683544,16.59470588,20.74662447,7.556962025,8.528057691,d,s,d,s
netb-118989,22,699,1545,3689,337,0.4821173104,27.34167535,14.30031474,23.08417799,19.31357394,5.277539342,3.416311409,d,d,s,s
netb-118a,12,422,929,2151,194,0.4597156398,26.90054897,13.32957346,24.10177725,20.16093997,5.097156398,3.40442164,d,d,s,s
netb-11a6,31,665,1478,3479,370,0.5563909774,37.26223502,13.58183459,19.19323169,13.93654329,5.231578947,3.683398407,d,d,d,s
netb-11b279,6,88,167,413,61,0.6931818182,73.40060606,9.777727273,12.52318182,8.008219697,4.693181818,2.897326175,s,s,s,s
netb-11b27b,26,352,701,1654,183,0.5198863636,65.28335629,9.642954545,13.34643266,7.470878497,4.698863636,3.034872856,d,s,s,s
netb-11b327,3,89,203,470,60,0.6741573034,23.90484848,14.25393258,23.07045455,18.27636704,5.280898876,4.008386613,s,d,d,d
netb-11b332,10,74,175,396,47,0.6351351351,35.902,11.66594595,15.89855556,7.474864865,5.351351351,3.640732153,s,s,d,d
netb-11b338,9,422,891,2063,200,0.4739336493,22.6205029,12.31383886,27.61088468,25.03987098,4.888625592,3.573787337,d,d,s,s
netb-11b33e,5,55,125,288,40,0.7272727273,42.03966667,12.29890909,15.93681481,8.733272727,5.236363636,3.687638497,s,d,s,d
netb-11b33f,4,42,100,218,31,0.7380952381,36.74892857,11.90095238,16.6002381,8.267142857,5.19047619,3.849787225,s,s,s,d
netb-11b347,8,98,230,550,64,0.6530612245,33.9675,14.78367347,17.36083333,11.12867347,5.612244898,3.74610724,s,s,d,d
netb-11b34f,6,43,100,228,28,0.6511627907,44.81664729,11.24744186,14.64686047,7.127286822,5.302325581,3.830932145,s,d,s,d
netb-11b35c,5,60,116,259,39,0.65,73.095,7.115333333,11.90333333,4.9015,4.316666667,2.986032299,s,d,s,d
netb-11b377,8,46,110,249,32,0.6956521739,40.69440217,10.88086957,14.8698913,6.940434783,5.413043478,3.584847865,s,s,s,d
netb-11b391,4,64,166,382,42,0.65625,13.16375,17.44625,21.25625,14.6828125,5.96875,4.126775186,s,s,s,d
netb-11b3a0,4,91,178,428,57,0.6263736264,58.6775,10.55428571,16.52277778,12.09752747,4.703296703,3.153558971,s,d,s,d
netb-11b3a5,2,42,97,214,26,0.619047619,32.13428571,12.75047619,19.85238095,13.06857143,5.095238095,4.43905569,s,d,d,d
netb-11b3b3,3,39,99,231,31,0.7948717949,15.57307018,16.75076923,20.09210526,12.96769231,5.923076923,3.950881858,s,d,s,s
netb-11b3bc,2,40,92,208,25,0.625,33.955,13.296,19.35,13.062,5.2,3.627671429,s,d,d,s
netb-11b3da,17,198,487,1153,101,0.5101010101,28.93141711,15.89919192,17.97558526,11.82095365,5.823232323,4.268047321,d,d,s,d
netb-11b3db,5,61,140,328,46,0.7540983607,42.28806557,13.39081967,16.24996721,9.995901639,5.37704918,3.635724089,s,s,s,d
netb-11b3e4,4,90,168,412,55,0.6111111111,66.55686798,9.801777778,15.3616573,11.38133333,4.577777778,3.207552815,s,s,s,s
netb-11b400,11,205,464,1061,119,0.5804878049,38.43421286,13.04429268,18.3864745,12.26530377,5.175609756,3.797096483,s,d,s,d
netb-11b401,3,47,98,248,37,0.7872340426,53.03688406,13.33702128,15.52913043,11.25609929,5.276595745,3.418984095,s,s,s,s
netb-11b412,6,50,115,263,37,0.74,41.99481293,11.5768,15.28887755,7.511266667,5.26,3.632134359,s,s,s,d
netb-11b41b,8,84,200,474,59,0.7023809524,36.74892857,14.56095238,16.6002381,10.39785714,5.642857143,3.730960738,s,s,d,d
netb-11b424,6,68,129,311,55,0.8088235294,74.61426617,8.480588235,11.48440299,5.777990196,4.573529412,2.767012492,s,d,s,d
netb-11b426,3,72,179,401,50,0.6944444444,14.15,15.715,23.10611111,16.80208333,5.569444444,3.483398679,s,d,s,d
netb-11b436,10,62,142,329,45,0.7258064516,45.70579508,10.62774194,14.25785246,6.663387097,5.306451613,3.52222762,s,d,s,d
netb-11b437,5,54,111,243,39,0.7222222222,63.973,7.919259259,12.87755556,5.165,4.5,3.32638164,s,s,s,d
netb-11b43b,3,101,214,477,61,0.603960396,35.41184818,11.09069307,22.5419802,17.64759076,4.722772277,3.357034323,s,d,s,d
netb-11b449,2,36,73,193,26,0.7222222222,44.94204545,14.07888889,16.9480303,12.82083333,5.361111111,3.750205756,s,s,s,s
netb-11b44c,6,65,153,349,45,0.6923076923,35.76145833,13.03876923,16.779375,9.27574359,5.369230769,3.63981923,s,d,s,d
netb-11b458,3,38,97,227,28,0.7368421053,20.02570175,16.98842105,19.47105263,13.03938596,5.973684211,3.976819955,s,s,d,d
netb-11b460,6,175,352,841,104,0.5942857143,48.25517241,11.44274286,19.59126437,15.78824762,4.805714286,3.475131476,s,d,d,s
netb-11b468,4,60,150,359,48,0.8,22.11,17.40866667,19.76,14.2515,5.983333333,3.662838911,s,s,d,d
netb-11b483,3,49,111,262,38,0.7755102041,40.61176871,13.8277551,17.51061224,11.9207483,5.346938776,3.329221398,s,d,s,d
netb-11b490,4,86,214,461,55,0.6395348837,16.49622093,14.3427907,22.1577907,14.5677907,5.360465116,3.602043318,s,d,s,d
netb-11b49a,2,62,132,310,41,0.6612903226,37.25387097,12.64516129,21.62258065,17.62,5,3.252790365,s,d,s,d
netb-11b4a5,3,36,88,220,33,0.9166666667,24.2847619,17.66666667,18.62857143,13.35333333,6.111111111,3.914203323,s,s,s,d
netb-11b4b1,2,45,98,227,33,0.7333333333,41.7575,12.54577778,18.88277778,13.57933333,5.044444444,3.359600211,s,s,d,d
netb-11b4c2,4,76,190,431,52,0.6842105263,15.48375,15.98789474,21.61583333,14.78065789,5.671052632,4.034026844,s,d,s,d
netb-11b4c5,15,309,692,1595,144,0.4660194175,38.46580583,13.11456311,18.86988997,13.18213592,5.161812298,3.683211885,d,d,s,s
netb-11b508,5,86,176,419,57,0.6627906977,56.40823529,11.12697674,15.47294118,10.11755814,4.872093023,3.280656881,s,d,d,d
netb-11b509,14,295,586,1373,167,0.5661016949,58.8955102,10.16216949,16.11972789,11.02717191,4.654237288,3.075729046,s,d,s,s
netb-11b50a,18,418,769,1770,205,0.490430622,68.98924145,7.823923445,15.2363141,10.12536948,4.234449761,2.616210015,s,d,s,s
netb-11b52f,8,120,292,663,76,0.6333333333,27.75,14.71366667,18.97333333,12.09275,5.525,3.783654538,s,d,s,d
netb-11b533,10,110,229,579,64,0.5818181818,53.66892857,12.45927273,14.2402381,8.861727273,5.263636364,3.561606565,s,d,s,s
netb-11b535,7,168,386,880,100,0.5952380952,30.09642857,13.76666667,20.88190476,15.24142857,5.238095238,4.000354293,s,d,s,d
netb-11b551,8,50,117,267,41,0.82,44.52725,10.8632,14.4595,6.8464,5.34,3.259509166,s,d,s,d
netb-11b555,7,113,279,635,74,0.6548672566,23.57035398,15.40884956,19.84022756,13.10912769,5.619469027,3.641740768,s,d,s,d
netb-11b55b,1,51,98,227,40,0.7843137255,32.269,9.791372549,27.038,25.03411765,4.450980392,2.809743031,s,d,s,s
